score,app_id,content,app_score,app_title,review_id,user_name,scraped_at,user_image,review_date,app_category,app_developer,scraper_config,review_date_raw,thumbs_up_count,app_reviews_count,review_created_version
1,com.supercell.clashofclans,"Halo Tim Dukungan Supercell, Saya ingin melaporkan adanya bug pada fitur Setelan Pemberitahuan di game Clash of Clans. Masalah yang saya alami adalah sebagai berikut: Semua opsi pemberitahuan telah saya aktifkan (Sumber Daya dan Bonus Harian, Peningkatan, Perang Klan, Permainan Klan, dan Acara). Namun, setelah saya menutup aplikasi dan melakukan login kembali (relog), seluruh pengaturan pemberitahuan otomatis berubah menjadi nonaktif (mati). Akibatnya, saya tidak menerima notifikasi apa pun",4.0795274,Clash of Clans,510746e6-adb8-4718-a578-90d2f1aac320,Satria M.A,2025-10-21T15:07:10.087254,https://play-lh.googleusercontent.com/a-/ALV-UjV7KnjodiGGHa9xLteT1Q8JNQyDmcNxrOWdONzc1tYJLNhAGmGu,2025-10-19T19:34:36,Strategi,Supercell,[object Object],2025-10-19 19:34:36,23,3932873,17.477.9
5,com.supercell.clashofclans,"Game penuh strategis penyerangan, pertahanan, pelatih kesabaran. buat kalian yang merasa butuh waktu luang unduh game ini karena jika sudah mencapai TH 6 ke atas maka hanya ada waktu untuk menunggu, selagi proses lebih baik pasang alarm yang berkaitan dengan waktu dan lihat dunia luar yang kau miliki. saran dari saya ""tambahkan fitur lihat kecepatan jaringan agar jika saat WAR kami tidak akan merasa gelisah karena sinyal"". dari segi harga event-event sangat ramah di kantung remaja/anak sekolah.",4.0795274,Clash of Clans,1b9d7e92-47dd-4832-bc34-69e64f4d5927,KONTEN LAGU Cty,2025-10-21T15:07:10.087276,https://play-lh.googleusercontent.com/a/ACg8ocLWM9JOrDpjZ_1Sgl6RNNWJiG8zyBD1s5GQTaS-PHH0pgGyOA=mo,2025-10-19T21:07:05,Strategi,Supercell,[object Object],2025-10-19 21:07:05,10,3932873,17.477.9
3,com.supercell.clashofclans,"kenapa war liga gak bisa diselesaikan (bonus liga gak bisa dibagi ke rekan2 yg lain) sehingga casual war gak bisa distart dan tampilan layar masih tampilan liga. Utk kolom ""beri bonus"" hanya setengah saja dan hanya terdapat kolom kosong, tidak ada nama2 playernya. Supercell segera perbaiki ya agar kami bisa menikmati game ini dgn hati yg gembira",4.0795274,Clash of Clans,0ba9696f-09c8-4168-ad9e-69f841ffac4a,Riski Saputra,2025-10-21T15:07:10.087281,https://play-lh.googleusercontent.com/a/ACg8ocKKidptgw9OMkNmaw09TtpiCHFV0RJSJV-U-BeM2VDA2dm78A=mo,2025-10-11T13:59:58,Strategi,Supercell,[object Object],2025-10-11 13:59:58,65,3932873,17.477.0
5,com.supercell.clashofclans,"edit : pembaruan kali ini seperti mempersulit Players baru dalam mengejar ketertinggalan, sulitnya mencari gems. yg dimana seperti misi kejar tropy kristal,master,dan juara itu dihapus. yg mana di th10 itu bisa menyelesaikannya dgn hadiah total 3250 gems. bisa buat beli gear. misi kemenangan manis juga dipersulit. raihlah trophy 75, 800,dan 1250. yg mana di th7 udh bisa menyelesaikannya dgn hadiah totalnya kisaran 755. bisa buat beli tukang ke4.",4.0795274,Clash of Clans,9787a897-8ced-4b51-8e6a-66fdd50d1e0d,Giyok Kk,2025-10-21T15:07:10.087284,https://play-lh.googleusercontent.com/a/ACg8ocIWr_Q38RACDWY8u2A6jC8QH9uvHOs9z-W4xEqHBLfuW3CkrQ=mo,2025-10-18T00:59:46,Strategi,Supercell,[object Object],2025-10-18 00:59:46,209,3932873,17.477.9
5,com.supercell.clashofclans,"Saya mendapatkan masalah pada update terbaru ini, ketika membuka profil akun saya sendiri tiba-tiba force close tanpa sebab, dan ketika in game di beranda, itu terasa lebih berat dari biasanya, FPS serasa drop sebelum update terakhir. Saya kurang tahu apa ini cuman di perangkat saya saja, atau memang kurang optimal dan fleksibel pada update baru ini. Semoga Supercell bisa membenahi masalah yang saya alami, saya pemain lama Clash Of Clans, sudah lebih dari 6 tahun sekaligus penggemarnya.",4.0795274,Clash of Clans,be79f6b5-af43-49aa-926a-dab19c984322,Nabel Davansa,2025-10-21T15:07:10.087286,https://play-lh.googleusercontent.com/a-/ALV-UjV55IlFF-ZnbxRPDDgfAx4Cjhp_S0YYy1ckxt7T8QdnRtr3CWvz,2025-10-15T21:35:55,Strategi,Supercell,[object Object],2025-10-15 21:35:55,388,3932873,17.477.0
1,com.supercell.clashofclans,"kecewa udah main 12 tahun, hasilnya diginiin abis update jelas"" banyak komplen soal bug, apalagi bug ga bisa login untuk android 8, padahal di informasi game itu ada keterangan berfungsi di android 7 atau di atasnya tapi ini android 8 ga bisa login, kebanyakan ngurus perubahan yg ga guna, benerin tu bugnya udah berapa hari ini ga bisa login, ga cwl dah kita gada informasi apapun soal pembatasan android 8 ga bisa akses lagi, sebagai contoh dulu di info in kalau android 5 udah ga bisa aksess",4.0795274,Clash of Clans,fe919082-0209-4c27-a3a4-91c51d78a9b2,Haslan Data,2025-10-21T15:07:10.087289,https://play-lh.googleusercontent.com/a/ACg8ocLxvyoPrMPEqQ9LV1h5oaMemdnDge-5dqtbNNQekQiRmusMnA=mo,2025-10-11T17:20:21,Strategi,Supercell,[object Object],2025-10-11 17:20:21,470,3932873,17.477.0
1,com.supercell.clashofclans,"tolong di perbaiki masalah sinyal nya,kenapa jika menyerang biasa tidak pernah disconnect tapi giliran attack war sering terjadi disconnect mohon di perbaiki.dan perbaiki juga masalah bug yang sering terjadi seperti yang terjadi pada saya, contohnya tidak bisa membagikan bonus war liga karena tombolnya tidak ada jadi saya tidak bisa memulai war lagi.",4.0795274,Clash of Clans,7c088fbf-f991-4a02-89de-e8ef6b211e7c,nazril ilham,2025-10-21T15:07:10.087292,https://play-lh.googleusercontent.com/a/ACg8ocLTJq4sgjBz1bBzaLjmf09La9x8gGbTUnyCBD9z8xiFnxoWaA=mo,2025-10-11T19:47:06,Strategi,Supercell,[object Object],2025-10-11 19:47:06,68,3932873,17.477.0
3,com.supercell.clashofclans,"saya player lama di clash of clans.. gamenya bagus mudah dimengerti game santai grafik juga stabil dari dulu ,,, cuman sekarang makin di update mulai bermunculan BUG seperti,saat cek profil pemain tiba-tiba game keluar sendiri dari aplikasi,,saat ingin login loadingnya stak gak masuk-masuk,,kadang harus berkali-kali baru bisa masuk",4.0795274,Clash of Clans,dc34a28c-2938-499c-b0e1-62b8070f6f33,Aldiansyah,2025-10-21T15:07:10.087295,https://play-lh.googleusercontent.com/a-/ALV-UjWuqbu50JCrwDeppDMSz0X54-TJqz29cpCEHC_OZmFylprhva54,2025-10-06T17:35:10,Strategi,Supercell,[object Object],2025-10-06 17:35:10,65,3932873,17.477.0
5,com.supercell.clashofclans,"dari semua gameplay udah bagus yang kurang cuman benerin aja sinyalnya kadang kalau lagi war tiba² sinyal jadinya harus ulang lagi, dan satu lagi pliss tambahin fitur yang membuat para player coc betah dan berlama² di game, dan mhon dipercepat untuk masuk web ketika ingin melihat event di dalam gamenya, mohon dibaca ya developer🤍☺️",4.0795274,Clash of Clans,17dfcd27-7f0f-4720-91c1-9151f7e722c5,Amim Dodo,2025-10-21T15:07:10.087300,https://play-lh.googleusercontent.com/a-/ALV-UjXkeKTFk23S5MpJw_2VS0HvMfSYT0h6VIM5NYM86sp_oQQgvgU,2025-10-16T21:08:13,Strategi,Supercell,[object Object],2025-10-16 21:08:13,12,3932873,17.477.9
1,com.supercell.clashofclans,"saya ada keluhan mohon diperbaiki. saat saya menyerang terjadi gangguan sinyal. padahal saat saya memakai apk lain contoh ml atau Ig itu tidak ada masalah dengan sinyal data. jadi saya mohon untuk di check, dan segera diperbaiki. terimakasih 🙏. masih aja kagak diperbaiki yaelah gini ini jadi banyak player yang pensi. koneksi kagak stabil, apaan cobak nyerang tiba² sinyalnya ilang kan gk ngotak. pas war lagi all hasil bintang 1 kan tolol",4.0795274,Clash of Clans,ee389a01-e4a1-4d51-8a74-42f3e6343984,Syifa Jihan,2025-10-21T15:07:10.087303,https://play-lh.googleusercontent.com/a/ACg8ocLuc2nqQgiFXZ4D396yz9kAyw2i6xK4dqWW15ekkgBoJOb3pg=mo,2025-10-17T11:58:47,Strategi,Supercell,[object Object],2025-10-17 11:58:47,35,3932873,17.477.9
